Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,30.150000,31.170000,30.059999,30.809999,30.809999,20779000
2020-07-02,31.299999,31.400000,30.400000,30.870001,30.870001,14553700
2020-07-06,31.549999,32.810001,31.160000,32.340000,32.340000,22400000
2020-07-07,31.959999,33.669998,31.770000,32.990002,32.990002,27940900
2020-07-08,33.200001,36.980000,32.730000,35.410000,35.410000,109654700
2020-07-09,35.880001,36.180000,34.810001,35.720001,35.720001,34648800
2020-07-10,35.459999,35.759998,34.860001,35.400002,35.400002,15238700
2020-07-13,35.720001,36.209999,33.759998,33.820000,33.820000,22480600
2020-07-14,33.529999,34.660000,33.439999,34.380001,34.380001,18533200
2020-07-15,35.119999,35.799999,34.619999,35.669998,35.669998,16579900
2020-07-16,34.130001,35.580002,34.000000,35.279999,35.279999,24353300
2020-07-17,35.310001,36.000000,34.730000,35.810001,35.810001,18564800
2020-07-20,35.799999,37.169998,35.799999,37.060001,37.060001,16867000
2020-07-21,37.790001,38.500000,37.000000,37.009998,37.009998,19264300
2020-07-22,36.970001,37.419998,36.250000,36.939999,36.939999,18185200
2020-07-23,37.650002,40.259998,37.500000,38.439999,38.439999,90266700
2020-07-24,38.279999,38.540001,37.139999,37.540001,37.540001,23068300
2020-07-27,37.580002,37.590000,36.090000,36.849998,36.849998,22911300
2020-07-28,36.450001,37.320000,36.410000,36.610001,36.610001,13566800
2020-07-29,36.970001,37.250000,36.730000,37.160000,37.160000,10675600
2020-07-30,36.730000,37.099998,36.380001,36.720001,36.720001,9997400
2020-07-31,37.330002,37.330002,35.970001,36.400002,36.400002,18624600
2020-08-03,36.410000,36.889999,35.900002,36.389999,36.389999,15488000
2020-08-04,35.919998,36.610001,35.650002,36.349998,36.349998,10596700
2020-08-05,36.560001,37.340000,36.410000,36.790001,36.790001,10024000
2020-08-06,36.849998,37.810001,36.490002,37.689999,37.689999,10478900
2020-08-07,37.419998,38.029999,36.730000,37.139999,37.139999,11341100
2020-08-10,38.360001,39.169998,37.310001,37.439999,37.439999,29298400
2020-08-11,37.590000,39.000000,36.709999,37.279999,37.279999,20486000
2020-08-12,37.500000,38.000000,36.820000,37.439999,37.439999,11009500
2020-08-13,37.430000,38.270000,37.369999,37.820000,37.820000,13259400
2020-08-14,37.740002,37.959999,37.279999,37.900002,37.900002,10377300
2020-08-17,37.950001,38.090000,37.270000,37.970001,37.970001,10188500
2020-08-18,38.279999,38.459999,37.740002,38.009998,38.009998,8572500
2020-08-19,38.090000,39.520000,38.060001,38.889999,38.889999,17077200
2020-08-20,38.619999,39.000000,38.299999,38.959999,38.959999,7745400
2020-08-21,38.990002,39.389999,38.700001,39.259998,39.259998,9758600
2020-08-24,39.680000,40.799999,39.639999,40.490002,40.490002,20496600
2020-08-25,40.439999,40.700001,39.320000,40.549999,40.549999,12470500
2020-08-26,40.549999,41.330002,40.000000,41.080002,41.080002,12532500
2020-08-27,40.970001,41.250000,40.070000,40.389999,40.389999,13055000
2020-08-28,40.500000,41.169998,40.419998,41.070000,41.070000,8024400
2020-08-31,40.990002,41.070000,40.570000,40.580002,40.580002,7468300
2020-09-01,40.610001,41.250000,40.139999,41.150002,41.150002,10468000
2020-09-02,41.520000,44.090000,41.360001,43.669998,43.669998,26800000
2020-09-03,42.740002,43.000000,40.959999,41.630001,41.630001,18760800
2020-09-04,41.200001,41.490002,38.430000,39.869999,39.869999,17825000
2020-09-08,38.520000,39.180000,38.099998,38.189999,38.189999,16117300
2020-09-09,38.849998,39.810001,38.330002,39.560001,39.560001,10744000
2020-09-10,39.790001,40.400002,38.820000,38.950001,38.950001,10412300
2020-09-11,39.240002,39.490002,38.509998,38.930000,38.930000,9885500
2020-09-14,39.410000,39.590000,38.549999,38.770000,38.770000,9418400
2020-09-15,39.189999,39.299999,38.230000,39.090000,39.090000,14105000
2020-09-16,39.389999,40.900002,39.189999,39.599998,39.599998,18883300
2020-09-17,38.849998,39.529999,38.599998,39.349998,39.349998,12753000
2020-09-18,39.360001,40.240002,38.930000,40.150002,40.150002,19493000
2020-09-21,39.430000,40.200001,39.220001,39.900002,39.900002,13790000
2020-09-22,40.369999,42.830002,40.270000,42.730000,42.730000,22379000
2020-09-23,43.880001,46.820000,43.700001,45.330002,45.330002,64803800
2020-09-24,44.689999,45.070000,42.660000,43.139999,43.139999,27772800
2020-09-25,43.209999,44.020000,42.590000,43.840000,43.840000,15456600
2020-09-28,44.400002,44.419998,43.610001,44.150002,44.150002,11672200
2020-09-29,44.349998,45.509998,44.290001,44.740002,44.740002,13585100
2020-09-30,44.619999,45.090000,43.950001,44.500000,44.500000,12923400
